STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
82,不思議な,ふしぎな,"khó hiểu, lạ lùng",ホアルー古城と並んで、タムコック・ビックドン地区の西街も夜間サービス開発の「明るいスポット」です。かつては川沿いの村道に過ぎませんでしたが、今では全長約2kmに及ぶ賑やかな観光通りへと変貌を遂げ、観光客は散策したり、飲食を楽しんだり、買い物をしたり、レンタサイクルで静かな田園風景を散策したりすることができます。夜になると、賑やかな通りは明るい光で照らされ、西洋からの観光客はベトナムの田園地帯特有の穏やかな風景の中で、どこか懐かしくも不思議な感覚を覚えます。,"Song hành với Phố cổ Hoa Lư, phố Tây ở Tam Cốc - Bích Động cũng là một “điểm sáng” về phát triển dịch vụ đêm. Trước kia chỉ là con đường làng ven sông, nay đã trở thành con phố du lịch sầm uất dài gần 2km, nơi du khách có thể tản bộ, thưởng thức đồ ăn, đồ uống, mua sắm, hay thuê xe đạp dạo quanh làng quê thanh bình. Khi đêm xuống, ánh đèn rực rỡ soi chiếu dãy phố nhộn nhịp, nơi du khách phương Tây tìm thấy cảm giác vừa lạ, vừa quen giữa khung cảnh yên bình đặc trưng của miền quê Việt Nam.",https://www.vietnam.vn/ja/kinh-te-ban-dem-hop-phan-quan-trong-phat-trien-kinh-te-du-lich-ninh-binh,https://baoninhbinh.org.vn/kinh-te-ban-dem-hop-phan-quan-trong-phat-trien-kinh-te-du-lich-ninh-binh-251014195342140.html,,
83,不十分な,ふじゅうぶんな,"không đầy đủ, chưa đầy đủ",当該支店におけるマネーロンダリング防止活動は不十分であり、顧客審査および取引手続きに関する内部規則および通達第09/2023/TT-NHNN号に従って厳格に実施されていなかったと結論付けられました。,"Hoạt động phòng, chống rửa tiền tại chi nhánh được kết luận là chưa đầy đủ, chưa thực hiện chặt chẽ theo quy định nội bộ về quy trình sàng lọc khách hàng, giao dịch và Thông tư số 09/2023/TT-NHNN.",https://www.vietnam.vn/ja/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than,https://doanhnghiepvn.vn/kinh-te/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than/20251007014226558,,
84,不測な,ふそくな,"bất trắc, trường hợp xấu",リュック氏によると、資本の流れを確保するためには、為替レートを犠牲にしなければならない場合もあるという。さらに、危機管理の枠組みを整備し、不測の事態に備え、受動的に行動するのではなく、対応計画を立てられるようにする必要がある。,"Theo ông Lực, đôi khi phải hy sinh tỉ giá để đảm bảo lưu chuyển dòng vốn. Ngoài ra, cần có khung xử lý khủng hoảng phòng trường hợp xấu xảy ra sẽ có sẵn phương án để ứng phó, không để bị động.",https://www.vietnam.vn/ja/kho-hai-hoa-nhieu-muc-tieu-mau-thuan,https://www.nguoiduatin.vn/dieu-hanh-chinh-sach-tien-te-kho-hai-hoa-nhieu-muc-tieu-mau-thuan-a607107.html,,
85,不適切な,ふてきせつな,"không thích hợp, không phù hợp",今年、事業発展を阻害する不必要な事業条件、重複する規制、不適切な規制の見直しと撤廃を完了することは、民営経済発展に関する政治局決議第68号に掲げられた多くの目標の一つです。これは、政府が各省庁、各部局、地方自治体に対し、継続的に行動を促す決議や電報を発出する際にも提起された重要な課題です。,"Trong năm nay, hoàn thành việc rà soát, loại bỏ những điều kiện kinh doanh không cần thiết, quy định chồng chéo, không phù hợp, cản trở sự phát triển của doanh nghiệp... là một trong nhiều mục tiêu đã được đặt ra tại Nghị quyết số 68 của Bộ Chính trị về phát triển kinh tế tư nhân. Đây cũng là vấn đề trọng tâm được Chính phủ đặt ra khi liên tục ban hành các Nghị quyết, công điện, thúc giục các Bộ ngành, địa phương hành động.",https://www.vietnam.vn/ja/cat-giam-dieu-kien-kinh-doanh-thu-tuc-hanh-chinh-can-thuc-chat-hon,https://vtv.vn/cat-giam-dieu-kien-kinh-doanh-thu-tuc-hanh-chinh-can-thuc-chat-hon-100251004061236435.htm,,
86,不透明な,ふとうめいな,"không minh bạch, mờ ám, (vùng) xám",ベトナム経済研究所が4月11日に開催した「2023年のベトナム経済の現状分析と2024年の経済見通しの評価に関するワークショップ」に出席した専門家らによると、ベトナム経済には明るい兆しもあるものの、依然として不透明な部分もあるという。 ,"Bên cạnh những điểm sáng, nền kinh tế Việt Nam vẫn còn có những vùng xám, theo các chuyên gia nhìn nhận tại Hội thảo phân tích thực trạng nền kinh tế Việt Nam năm 2023, đánh giá về triển vọng nền kinh tế năm 2024, do Viện Kinh tế Việt Nam tổ chức ngày 11/4.",https://www.vietnam.vn/ja/kinh-te-viet-nam-co-dau-hieu-phuc-hoi-nhung-chua-chac-chan,https://thoibaonganhang.vn/kinh-te-viet-nam-co-dau-hieu-phuc-hoi-nhung-chua-chac-chan-150777.html,,
87,不便な,ふべんな,"bất tiện, chưa thuận tiện",会議において、コミューンおよび区の指導者たちは、人材面におけるいくつかの困難について言及した。コミューンレベルの職員の専門的資質にばらつきがある。一部のコミューンでは、施設や行政サービスセンターの利便性が悪く、手続きに不便をきたしている。公共投資プロジェクトの用地確保の問題は困難であり、資本支出と経済成長に直接影響を与えるだろう。,"Tại cuộc họp, lãnh đạo các xã, phường phản ánh một số khó khăn về nhân lực; cán bộ cấp xã có trình độ chuyên môn sâu chưa đồng đều. Tại một số xã, cơ sở vật chất, trung tâm phục vụ hành chính công chưa thuận tiện cho người dân đến làm thủ tục. Vấn đề giải phóng mặt bằng cho các dự án đầu tư công khó khăn sẽ ảnh hưởng trực tiếp đến giải ngân vốn và tăng trưởng kinh tế.",https://www.vietnam.vn/ja/no-luc-cao-nhat-cho-muc-tieu-tang-truong-kinh-te,https://www.vietnam.vn/no-luc-cao-nhat-cho-muc-tieu-tang-truong-kinh-te,,
88,不良な,ふりょう,"hỏng, không đạt chất lượng, (nợ) xấu",2023年6月末現在、信用機関システムの不良債権比率は3.36％（2020年末は1.69％、2021年、2022年は1.49％）、貸借対照表上の不良債権比率、資産管理会社（VAMC）の未処理債務および不良債権になる可能性のある債務が総未払い債務と比較した比率は5.1％でした。,"đến cuối tháng 6/2023, tỉ lệ nợ xấu nội bảng của hệ thống các tổ chức tín dụng ở mức 3,36% (cuối năm 2020 là 1,69%, năm 2021 là 1,49%, năm 2022 là 2%), tỉ lệ nợ xấu nội bảng, nợ tại Công ty quản lý tài sản (VAMC) chưa xử lý và nợ tiềm ẩn trở thành nợ xấu so với tổng dư nợ ở mức 5,1%.",https://www.vietnam.vn/ja/no-xau-tai-cac-ngan-hang-van-trong-tam-kiem-soat,https://www.nguoiduatin.vn/no-xau-tai-cac-ngan-hang-van-trong-tam-kiem-soat-204631303.htm,,
89,平均的な,へいきんてきな,trung bình,一人当たり GDP : GDP を人口で割り、各個人の平均的な経済貢献を推定するのに役立ちます。,"GDP bình quân đầu người: Chia GDP cho dân số, giúp ước tính mức đóng góp kinh tế trung bình của mỗi cá nhân.",https://www.vietnam.vn/ja/du-bao-10-cuong-quoc-kinh-te-lon-nhat-the-gioi-2025,https://www.congluan.vn/du-bao-10-cuong-quoc-kinh-te-lon-nhat-the-gioi-2025-post334640.html,,
90,便利な,べんりな,"tiện lợi, thuận lợi",イオンタンアンショッピングセンターは、 タイニン省（新行政中心地）のフンヴォン通りに位置します。フンヴォン通りは国道1A号線に直結する主要幹線道路で、ホーチミン市とチュンルオン高速道路までわずか1kmです。この好立地は、ホーチミン市やメコンデルタ各省からタンアンへのアクセスに便利であり、南部地域におけるイオンのプレゼンス拡大に貢献します。,"Trung tâm thương mại (TTTM) AEON Tân An tọa lạc tại Trung tâm hành chính mới của tỉnh Tây Ninh (mới), trên trục đường Hùng Vương - tuyến huyết mạch kết nối trực tiếp Quốc lộ 1A và chỉ cách cao tốc TPHCM - Trung Lương khoảng 1km. Vị trí đắc địa này giúp việc di chuyển từ TPHCM và các tỉnh đồng bằng sông Cửu Long đến Tân An trở nên thuận lợi, đồng thời mở rộng sự hiện diện của AEON tại khu vực phía Nam.",https://www.vietnam.vn/ja/khanh-thanh-aeon-tan-an-buoc-tien-moi-trong-chien-luoc-mo-rong-dau-tu-tai-viet-nam,https://dantri.com.vn/kinh-doanh/khanh-thanh-aeon-tan-an-buoc-tien-moi-trong-chien-luoc-mo-rong-dau-tu-tai-viet-nam-20251007151706995.htm,,
91,膨大な,ぼうだいな,"Khổng lồ, to lớn",10月10日午後、「ベトナム民間経済パノラマ」（ViPEL 2025）第1回会議の全体会議で、ファム・ミン・チン首相は、民間経済は成長を促進し、膨大な資源を動員するだけでなく、社会保障を保障し、祖国防衛と国家発展の大業に貢献する重要な力であると強調した。,"Chiều ngày 10/10, tại phiên toàn thể hội nghị ""Toàn cảnh Kinh tế tư nhân Việt Nam lần thứ nhất"" (ViPEL 2025), Thủ tướng Phạm Minh Chính nhấn mạnh, kinh tế tư nhân không chỉ góp phần thúc đẩy tăng trưởng, huy động nguồn lực to lớn mà còn đảm bảo an sinh xã hội, là lực lượng đóng góp quan trọng cho sự nghiệp bảo vệ Tổ quốc và phát triển đất nước.",https://www.vietnam.vn/ja/kien-tao-tuong-lai-dan-toc-tu-suc-manh-kinh-te-tu-nhan,https://doanhnghiepvn.vn/doanh-nhan/kien-tao-tuong-lai-dan-toc-tu-suc-manh-kinh-te-tu-nhan/20251010080619043,,
92,豊富,ほうふ,"phong phú, dồi dào",地形が収束し、資源が豊富、ザライは投資家を歓迎する「扉を開く」,"Địa thế hội tụ, nguồn lực dồi dào, Gia Lai ‘mở cửa’ đón nhà đầu tư",https://www.vietnam.vn/ja/dia-the-hoi-tu-nguon-luc-doi-dao-gia-lai-mo-cua-don-nha-dau-tu,https://vietnamnet.vn/dia-the-hoi-tu-nguon-luc-doi-dao-gia-lai-mo-cua-don-nha-dau-tu-2450139.html,,
93,ポジティブな,ぽじてぃぶな,tích cực,午前のセッションでは、4つの専門委員会が各業種ごとに同時開催され、各セッションには最大100名の代表者が参加します。また、ベトナムの女性起業家が主催する「ベトナム民間経済パノラマ」の一環として、女性起業家フォーラムも開催されます。これらのワーキングセッションでは、企業、専門家、関係省庁、セクター、地方自治体の代表者が一堂に会し、業界団体が抱える「大きな課題」と飛躍的な成長の可能性を特定します。そして、「官民連携による国づくり」という高い精神に基づき、新たなアプローチの試行とポジティブな価値観の普及に向けたプロジェクトを提案します。,"Tại phiên buổi sáng, 4 ủy ban chuyên môn sẽ đồng thời tổ chức các phiên họp riêng theo từng khối ngành, quy mô tối đa 100 đại biểu mỗi phiên. Đồng thời, các nữ doanh nhân Việt Nam cũng tổ chức Diễn đàn nữ doanh nhân trong khuôn khổ Toàn cảnh Kinh tế tư nhân Việt Nam. Các buổi làm việc này quy tụ các doanh nghiệp, chuyên gia và đại diện các Bộ, ngành, địa phương liên quan để cùng nhận diện các “bài toán lớn”, dư địa tăng trưởng đột phá của các nhóm ngành. Qua đó, đề xuất các dự án có tinh thần “Công - tư đồng kiến quốc” cao nhằm phối hợp thí điểm cách làm mới và lan tỏa các giá trị tích cực.",https://www.vietnam.vn/ja/ngay-10-10-dien-ra-chuong-trinh-toan-canh-kinh-te-tu-nhan-lan-thu-nhat,https://dantri.com.vn/kinh-doanh/ngay-1010-dien-ra-chuong-trinh-toan-canh-kinh-te-tu-nhan-lan-thu-nhat-20251009113342284.htm,,
